Mod:Item:MetaData, Localized Name
chisel:prismarine:14, 海晶石
chisel:prismarine:15, 海晶石
chisel:prismarine1:0, 海晶石
chisel:prismarine1:1, 海晶石
chisel:prismarine1:2, 海晶石
chisel:prismarine1:3, 海晶石
chisel:prismarine1:4, 海晶石
chisel:prismarine1:5, 海晶石
chisel:prismarine1:6, 海晶石
chisel:prismarine1:7, 海晶石
chisel:prismarine1:8, 海晶石
chisel:prismarine1:9, 海晶石
chisel:prismarine2:0, 海晶石
chisel:prismarine2:1, 海晶石
chisel:prismarine2:2, 海晶石
chisel:prismarine2:3, 海晶石
chisel:prismarine2:4, 海晶石
chisel:prismarine2:5, 海晶石
chisel:quartz:0, 石英块
chisel:quartz:1, 石英块
chisel:quartz:2, 石英块
chisel:quartz:3, 石英块
chisel:quartz:4, 石英块
chisel:quartz:5, 石英块
chisel:quartz:6, 石英块
chisel:quartz:7, 石英块
chisel:quartz:8, 石英块
chisel:quartz:9, 石英块
chisel:quartz:10, 石英块
chisel:quartz:11, 石英块
chisel:quartz:12, 石英块
chisel:quartz:13, 石英块
chisel:quartz:14, 石英块
chisel:quartz:15, 石英块
chisel:quartz1:0, 石英块
chisel:quartz1:1, 石英块
chisel:quartz1:2, 石英块
chisel:quartz1:3, 石英块
chisel:quartz1:4, 石英块
chisel:quartz1:5, 石英块
chisel:quartz1:6, 石英块
chisel:quartz1:7, 石英块
chisel:quartz1:8, 石英块
chisel:quartz1:9, 石英块
chisel:quartz1:10, 石英块
chisel:quartz1:11, 石英块
chisel:quartz1:12, 石英块
chisel:quartz1:13, 石英块
chisel:quartz1:14, 石英块
chisel:quartz1:15, 石英块
chisel:redstone:0, 红石块
chisel:redstone:1, 红石块
chisel:redstone:2, 红石块
chisel:redstone:3, 红石块
chisel:redstone:4, 红石块
chisel:redstone:5, 红石块
chisel:redstone:6, 红石块
chisel:redstone:7, 红石块
chisel:redstone:8, 红石块
chisel:redstone:9, 红石块
chisel:redstone:10, 红石块
chisel:redstone:11, 红石块
chisel:redstone:12, 红石块
chisel:redstone:13, 红石块
chisel:redstone:14, 红石块
chisel:redstone:15, 红石块
chisel:redstone1:0, 红石块
chisel:redstone1:1, 红石块
chisel:redstone1:2, 红石块
chisel:redstone1:3, 红石块
chisel:redstone1:4, 红石块
chisel:redstone1:5, 红石块
chisel:redstone1:6, 红石块
chisel:redstone1:7, 红石块
chisel:redstone1:8, 红石块
chisel:redstone1:9, 红石块
chisel:redstone1:10, 红石块
chisel:redstone1:11, 红石块
chisel:sandstoneyellow:0, 砂岩
chisel:sandstoneyellow:1, 砂岩
chisel:sandstoneyellow:2, 砂岩
chisel:sandstoneyellow:3, 砂岩
chisel:sandstoneyellow:4, 砂岩
chisel:sandstoneyellow:5, 砂岩
chisel:sandstoneyellow:6, 砂岩
chisel:sandstoneyellow:7, 砂岩
chisel:sandstoneyellow:8, 砂岩
chisel:sandstoneyellow:9, 砂岩
chisel:sandstoneyellow:10, 砂岩
chisel:sandstoneyellow:11, 砂岩
chisel:sandstoneyellow:12, 砂岩
chisel:sandstoneyellow:13, 砂岩
chisel:sandstoneyellow:14, 砂岩
chisel:sandstoneyellow:15, 砂岩
chisel:sandstoneyellow1:0, 砂岩
chisel:sandstoneyellow1:1, 砂岩
chisel:sandstoneyellow1:2, 砂岩
chisel:sandstoneyellow1:3, 砂岩
chisel:sandstoneyellow1:4, 砂岩
chisel:sandstoneyellow1:5, 砂岩
chisel:sandstoneyellow1:6, 砂岩
chisel:sandstoneyellow1:7, 砂岩
chisel:sandstoneyellow1:8, 砂岩
chisel:sandstoneyellow1:9, 砂岩
chisel:sandstoneyellow2:0, 砂岩
chisel:sandstoneyellow2:1, 砂岩
chisel:sandstoneyellow2:2, 砂岩
chisel:sandstoneyellow2:3, 砂岩
chisel:sandstoneyellow2:4, 砂岩
chisel:sandstoneyellow2:5, 砂岩
chisel:sandstoneyellow2:6, 砂岩
chisel:sandstoneyellow2:7, 砂岩
chisel:sandstonered:0, 红砂岩
chisel:sandstonered:1, 红砂岩
chisel:sandstonered:2, 红砂岩
chisel:sandstonered:3, 红砂岩
chisel:sandstonered:4, 红砂岩
chisel:sandstonered:5, 红砂岩
chisel:sandstonered:6, 红砂岩
chisel:sandstonered:7, 红砂岩
chisel:sandstonered:8, 红砂岩
chisel:sandstonered:9, 红砂岩
chisel:sandstonered:10, 红砂岩
chisel:sandstonered:11, 红砂岩
chisel:sandstonered:12, 红砂岩
chisel:sandstonered:13, 红砂岩
chisel:sandstonered:14, 红砂岩
chisel:sandstonered:15, 红砂岩
chisel:sandstonered1:0, 红砂岩
chisel:sandstonered1:1, 红砂岩
chisel:sandstonered1:2, 红砂岩
chisel:sandstonered1:3, 红砂岩
chisel:sandstonered1:4, 红砂岩
chisel:sandstonered1:5, 红砂岩
chisel:sandstonered1:6, 红砂岩
chisel:sandstonered1:7, 红砂岩
chisel:sandstonered1:8, 红砂岩
chisel:sandstonered1:9, 红砂岩
chisel:sandstonered2:0, 红砂岩
chisel:sandstonered2:1, 红砂岩
chisel:sandstonered2:2, 红砂岩
chisel:sandstonered2:3, 红砂岩
chisel:sandstonered2:4, 红砂岩
chisel:sandstonered2:5, 红砂岩
chisel:sandstonered2:6, 红砂岩
chisel:sandstonered2:7, 红砂岩
chisel:sandstone-scribbles:0, 刻文砂岩
chisel:sandstone-scribbles:1, 刻文砂岩
chisel:sandstone-scribbles:2, 刻文砂岩
chisel:sandstone-scribbles:3, 刻文砂岩
chisel:sandstone-scribbles:4, 刻文砂岩
chisel:sandstone-scribbles:5, 刻文砂岩
chisel:sandstone-scribbles:6, 刻文砂岩
chisel:sandstone-scribbles:7, 刻文砂岩
chisel:sandstone-scribbles:8, 刻文砂岩
chisel:sandstone-scribbles:9, 刻文砂岩
chisel:sandstone-scribbles:10, 刻文砂岩
chisel:sandstone-scribbles:11, 刻文砂岩
chisel:sandstone-scribbles:12, 刻文砂岩
chisel:sandstone-scribbles:13, 刻文砂岩
chisel:sandstone-scribbles:14, 刻文砂岩
chisel:sandstone-scribbles:15, 刻文砂岩
chisel:sandstonered-scribbles:0, 象形文字红砂岩
chisel:sandstonered-scribbles:1, 象形文字红砂岩
chisel:sandstonered-scribbles:2, 象形文字红砂岩
chisel:sandstonered-scribbles:3, 象形文字红砂岩
chisel:sandstonered-scribbles:4, 象形文字红砂岩
chisel:sandstonered-scribbles:5, 象形文字红砂岩
chisel:sandstonered-scribbles:6, 象形文字红砂岩
chisel:sandstonered-scribbles:7, 象形文字红砂岩
chisel:sandstonered-scribbles:8, 象形文字红砂岩
chisel:sandstonered-scribbles:9, 象形文字红砂岩
chisel:sandstonered-scribbles:10, 象形文字红砂岩
chisel:sandstonered-scribbles:11, 象形文字红砂岩
chisel:sandstonered-scribbles:12, 象形文字红砂岩
chisel:sandstonered-scribbles:13, 象形文字红砂岩
chisel:sandstonered-scribbles:14, 象形文字红砂岩
chisel:sandstonered-scribbles:15, 象形文字红砂岩
chisel:blocksilver:0, 银块
chisel:blocksilver:1, 银块
chisel:blocksilver:2, 银块
chisel:blocksilver:3, 银块
chisel:blocksilver:4, 银块
chisel:blocksilver:5, 银块
chisel:blocksilver:6, 银块
chisel:blocksteel:0, 钢块
chisel:blocksteel:1, 钢块
chisel:blocksteel:2, 钢块
chisel:blocksteel:3, 钢块
chisel:blocksteel:4, 钢块
chisel:blocksteel:5, 钢块
chisel:blocksteel:6, 钢块
chisel:stonebrick:0, 錾制石砖
chisel:stonebrick:1, 錾制石砖
chisel:stonebrick:2, 錾制石砖
chisel:stonebrick:3, 錾制石砖
chisel:stonebrick:4, 錾制石砖
chisel:stonebrick:5, 錾制石砖
chisel:stonebrick:6, 錾制石砖
chisel:stonebrick:7, 錾制石砖
chisel:stonebrick:8, 錾制石砖
chisel:stonebrick:9, 錾制石砖
chisel:stonebrick:10, 錾制石砖
chisel:stonebrick:11, 錾制石砖
chisel:stonebrick:12, 錾制石砖
chisel:stonebrick:13, 錾制石砖
chisel:stonebrick:14, 錾制石砖
chisel:stonebrick:15, 錾制石砖
chisel:stonebrick1:0, 錾制石砖
chisel:stonebrick1:1, 錾制石砖
chisel:stonebrick1:2, 錾制石砖
chisel:stonebrick1:3, 錾制石砖
chisel:stonebrick1:4, 錾制石砖
chisel:stonebrick1:5, 錾制石砖
chisel:stonebrick1:6, 錾制石砖
chisel:stonebrick1:7, 錾制石砖
chisel:stonebrick1:8, 錾制石砖
chisel:stonebrick1:9, 錾制石砖
chisel:stonebrick2:0, 錾制石砖
chisel:stonebrick2:1, 錾制石砖
chisel:stonebrick2:2, 錾制石砖
chisel:stonebrick2:3, 錾制石砖
chisel:stonebrick2:4, 錾制石砖
chisel:stonebrick2:5, 錾制石砖
chisel:stonebrick2:6, 錾制石砖
chisel:stonebrick2:7, 錾制石砖
chisel:stonebrick2:8, 錾制石砖
chisel:stonebrick2:9, 錾制石砖
chisel:technical:0, 工业方块
chisel:technical:1, 工业方块
chisel:technical:2, 工业方块
chisel:technical:3, 工业方块
chisel:technical:4, 工业方块
chisel:technical:5, 工业方块
chisel:technical:6, 工业方块
chisel:technical:7, 工业方块
chisel:technical:8, 工业方块
chisel:technical:9, 工业方块
chisel:technical:10, 工业方块
chisel:technical:11, 工业方块
chisel:technical:12, 工业方块
chisel:technical:13, 工业方块
chisel:technical:14, 工业方块
chisel:technical:15, 工业方块
chisel:technical1:0, 工业方块
chisel:technical1:1, 工业方块
chisel:technical1:2, 工业方块
chisel:technical1:3, 工业方块
chisel:technical1:4, 工业方块
chisel:technicalnew:0, 工业方块
chisel:technicalnew:1, 工业方块
chisel:technicalnew:2, 工业方块
chisel:technicalnew:3, 工业方块
chisel:technicalnew:4, 工业方块
chisel:technicalnew:5, 工业方块
chisel:technicalnew:6, 工业方块
chisel:technicalnew:7, 工业方块
chisel:technicalnew:8, 工业方块
chisel:temple:0, 神庙石
chisel:temple:1, 神庙石
chisel:temple:2, 神庙石
chisel:temple:3, 神庙石
chisel:temple:4, 神庙石
chisel:temple:5, 神庙石
chisel:temple:6, 神庙石
chisel:temple:7, 神庙石
chisel:temple:8, 神庙石
chisel:temple:9, 神庙石
chisel:temple:10, 神庙石
chisel:temple:11, 神庙石
chisel:temple:12, 神庙石
chisel:temple:13, 神庙石
chisel:temple:14, 神庙石
chisel:temple:15, 神庙石
chisel:templemossy:0, 神庙苔石
chisel:templemossy:1, 神庙苔石
chisel:templemossy:2, 神庙苔石
chisel:templemossy:3, 神庙苔石
chisel:templemossy:4, 神庙苔石
chisel:templemossy:5, 神庙苔石
chisel:templemossy:6, 神庙苔石
chisel:templemossy:7, 神庙苔石
chisel:templemossy:8, 神庙苔石
chisel:templemossy:9, 神庙苔石
chisel:templemossy:10, 神庙苔石
chisel:templemossy:11, 神庙苔石
chisel:templemossy:12, 神庙苔石
chisel:templemossy:13, 神庙苔石
chisel:templemossy:14, 神庙苔石
chisel:templemossy:15, 神庙苔石
chisel:blocktin:0, 锡块
chisel:blocktin:1, 锡块
chisel:blocktin:2, 锡块
chisel:blocktin:3, 锡块
chisel:blocktin:4, 锡块
chisel:blocktin:5, 锡块
chisel:blocktin:6, 锡块
chisel:tyrian:0, 未来风格金属块
chisel:tyrian:1, 未来风格金属块
chisel:tyrian:2, 未来风格金属块
chisel:tyrian:3, 未来风格金属块
chisel:tyrian:4, 未来风格金属块
chisel:tyrian:5, 未来风格金属块
chisel:tyrian:6, 未来风格金属块
chisel:tyrian:7, 未来风格金属块
chisel:tyrian:8, 未来风格金属块
chisel:tyrian:9, 未来风格金属块
chisel:tyrian:10, 未来风格金属块
chisel:tyrian:11, 未来风格金属块
chisel:tyrian:12, 未来风格金属块
chisel:tyrian:13, 未来风格金属块
chisel:tyrian:14, 未来风格金属块
chisel:tyrian:15, 未来风格金属块
chisel:blockuranium:0, 铀块
chisel:blockuranium:1, 铀块
chisel:blockuranium:2, 铀块
chisel:blockuranium:3, 铀块
chisel:blockuranium:4, 铀块
chisel:blockuranium:5, 铀块
chisel:blockuranium:6, 铀块
chisel:valentines:0, 爱之方块
chisel:valentines:1, 爱之方块
chisel:valentines:2, 爱之方块
chisel:valentines:3, 爱之方块
chisel:valentines:4, 爱之方块
chisel:valentines:5, 爱之方块
chisel:valentines:6, 爱之方块
chisel:valentines:7, 爱之方块
chisel:valentines:8, 爱之方块
chisel:valentines:9, 爱之方块
chisel:voidstone:0, 虚空石
chisel:voidstone:1, 虚空石
chisel:voidstone:2, 虚空石
chisel:voidstone:3, 虚空石
chisel:voidstone:4, 虚空石
chisel:voidstone:5, 虚空石
chisel:voidstone:6, 虚空石
chisel:voidstone:7, 虚空石
chisel:energizedvoidstone:0, 元始虚空石
chisel:energizedvoidstone:1, 元始虚空石
chisel:energizedvoidstone:2, 元始虚空石
chisel:energizedvoidstone:3, 元始虚空石
chisel:energizedvoidstone:4, 元始虚空石
chisel:energizedvoidstone:5, 元始虚空石
chisel:energizedvoidstone:6, 元始虚空石
chisel:energizedvoidstone:7, 元始虚空石
chisel:voidstonerunic:0, 符文虚空石
chisel:voidstonerunic:1, 符文虚空石
chisel:voidstonerunic:2, 符文虚空石
chisel:voidstonerunic:3, 符文虚空石
chisel:voidstonerunic:4, 符文虚空石
chisel:voidstonerunic:5, 符文虚空石
chisel:voidstonerunic:6, 符文虚空石
chisel:voidstonerunic:7, 符文虚空石
chisel:voidstonerunic:8, 符文虚空石
chisel:voidstonerunic:9, 符文虚空石
chisel:voidstonerunic:10, 符文虚空石
chisel:voidstonerunic:11, 符文虚空石
chisel:voidstonerunic:12, 符文虚空石
chisel:voidstonerunic:13, 符文虚空石
chisel:voidstonerunic:14, 符文虚空石
chisel:waterstone:0, 水磨石
chisel:waterstone:1, 水磨石
chisel:waterstone:2, 水磨石
chisel:waterstone:3, 水磨石
chisel:waterstone:4, 水磨石
chisel:waterstone:5, 水磨石
chisel:waterstone:6, 水磨石
chisel:waterstone:7, 水磨石
chisel:waterstone:8, 水磨石
chisel:waterstone:9, 水磨石
chisel:waterstone:10, 水磨石
chisel:waterstone:11, 水磨石
chisel:waterstone:12, 水磨石
chisel:waterstone:13, 水磨石
chisel:waterstone:14, 水磨石
chisel:waterstone:15, 水磨石
chisel:waterstone1:0, 水磨石
chisel:waterstone1:1, 水磨石
chisel:waterstone1:2, 水磨石
chisel:waterstone1:3, 水磨石
chisel:waterstone1:4, 水磨石
chisel:waterstone1:5, 水磨石
chisel:waterstone1:6, 水磨石
chisel:waterstone1:7, 水磨石
chisel:waterstone1:8, 水磨石
chisel:waterstone1:9, 水磨石
chisel:waterstone1:10, 水磨石
chisel:waterstone1:11, 水磨石
chisel:waterstone1:12, 水磨石
chisel:waterstone1:13, 水磨石
chisel:waterstone1:14, 水磨石
chisel:waterstone1:15, 水磨石
chisel:waterstone2:0, 水磨石
chisel:wool_black:0, 黑色地毯
chisel:wool_black:1, 黑色地毯
chisel:wool_red:0, 红色地毯
chisel:wool_red:1, 红色地毯
chisel:wool_green:0, 绿色地毯
chisel:wool_green:1, 绿色地毯
chisel:wool_brown:0, 棕色地毯
chisel:wool_brown:1, 棕色地毯
chisel:wool_blue:0, 蓝色地毯
chisel:wool_blue:1, 蓝色地毯
chisel:wool_purple:0, 紫色地毯
chisel:wool_purple:1, 紫色地毯
chisel:wool_cyan:0, 青色地毯
chisel:wool_cyan:1, 青色地毯
chisel:wool_lightgray:0, 淡灰色地毯
chisel:wool_lightgray:1, 淡灰色地毯
chisel:wool_gray:0, 灰色地毯
chisel:wool_gray:1, 灰色地毯
chisel:wool_pink:0, 粉红色地毯
chisel:wool_pink:1, 粉红色地毯
chisel:wool_lime:0, 黄绿色地毯
chisel:wool_lime:1, 黄绿色地毯
chisel:wool_yellow:0, 黄色地毯
chisel:wool_yellow:1, 黄色地毯
chisel:wool_lightblue:0, 淡蓝色地毯
chisel:wool_lightblue:1, 淡蓝色地毯
chisel:wool_magenta:0, 品红色地毯
chisel:wool_magenta:1, 品红色地毯
chisel:wool_orange:0, 橙色地毯
chisel:wool_orange:1, 橙色地毯
chisel:wool_white:0, 地毯
chisel:wool_white:1, 地毯
witchery:belladonna_seeds, 颠茄种子
witchery:mandrake_seeds, 曼德拉种子
witchery:artichoke_seeds, 水洋蓟种子
witchery:snowbell_seeds, 雪铃花种子
witchery:wormwood_seeds, 苦艾种子
witchery:wolfsbane_seeds, 狼毒草种子
witchery:garlic, 大蒜
witchery:mindrake_bulb, 矿德拉花蕾
witchery:wild_bramble, 野荆棘
witchery:ender_bramble, 末影荆棘
witchery:void_bramble, 虚空荆棘
witchery:glint_weed, 闪烁草
witchery:spanish_moss, 寄生藤
witchery:leaping_lily, 跃动莲叶
witchery:ember_moss, 安博苔藓
witchery:empty_critter_snare, 生物陷阱
witchery:bat_critter_snare, 生物陷阱(蝙蝠)
witchery:silverfish_critter_snare, 生物陷阱(蠹虫)
witchery:slime_critter_snare, 生物陷阱(史莱姆)
witchery:magma_cube_critter_snare, 生物陷阱(岩浆史莱姆)
witchery:grassper, 擒拿草
witchery:blood_poppy, 血玫瑰
witchery:wispy_cotton, 纤细棉花
witchery:demon_heart, 恶魔之心
witchery:wolf_head, 狼头颅
witchery:hellhound_head, 地狱犬头颅
witchery:rowan_door, 山梨木门
witchery:alder_door, 赤杨木门
witchery:disguised_alder_door, 赤杨木门
witchery:hawthorn_door, 山楂木门
witchery:ice_door, 冰门
witchery:chalice, 圣餐杯
witchery:full_chalice, 圣餐杯(填满的)
witchery:candelabra, 枝状大烛台
witchery:alluring_skull, 魅惑头骨
witchery:plain_wicker_bundle, 柳条捆
witchery:bloodied_wicker_bundle, 浸血的柳条捆
witchery:goddess_statue, 女神像
witchery:perpetual_ice, 永冻之冰
witchery:ice_stairs, 冰楼梯
witchery:ice_slab, 冰台阶
witchery:ice_fence, 冰栅栏
witchery:ice_fence_gate, 冰门
witchery:ice_pressure_plate, 冰压力板
witchery:snow_pressure_plate, 雪压力板
witchery:snow_stairs, 雪楼梯
witchery:snow_slab, 雪台阶
witchery:infinity_egg, 无限之蛋
witchery:pit_dirt, 泥土
witchery:pit_podzol, 灰化土
witchery:pit_grass, 草方块
witchery:garlic_garland, 大蒜环
witchery:blood_stained_wool, 血染羊毛
witchery:mirror_wall, tile.witchery.mirror_wall.name
witchery:refilling_chest, 箱子
witchery:torment_stone, tile.witchery.torment_stone.name
witchery:leech_chest, 水蛭箱子
witchery:altar, 祭坛
witchery:kettle, 水壶
witchery:poppet_shelf, 娃娃台子
witchery:fleet_foot_dream_weaver, 疾行之织梦者
witchery:iron_arm_dream_weaver, 铁臂之织梦者
witchery:fasting_dream_weaver, 斋戒之织梦者
witchery:nightmares_dream_weaver, 夜魇之织梦者
witchery:intensity_dream_weaver, 炽烈之织梦者
witchery:crystal_ball, 水晶球
witchery:spinning_wheel, 纺车
witchery:brazier, 火盆
witchery:witches_oven, 巫师烤炉
witchery:fume_funnel, 熏气漏斗
witchery:filtered_fume_funnel, 过滤强化型熏气漏斗
witchery:distillery, 蒸馏塔
witchery:scarecrow, 稻草人
witchery:trent_effigy, 特伦特雕像
witchery:witchs_ladder, 女巫之阶
witchery:occluded_summons_statue, 封闭召唤之雕像
witchery:broken_curses_statue, 破损诅咒之雕像
witchery:worship_statue, 妖精主顾之雕像
witchery:cauldron, Witch's Cauldron
witchery:wolf_altar, 犬神雕像
witchery:silver_vat, 制银桶
witchery:beartrap, 捕熊陷阱
witchery:wolftrap, 捕狼陷阱
witchery:sun_collector, 阳光收集器
witchery:blood_crucible, 血液坩埚
witchery:mirror, 魔镜
witchery:heart_circle_glyph, 金色粉笔
witchery:ritual_circle_glyph, 仪式粉笔
witchery:otherwhere_circle_glyph, 他处粉笔
witchery:infernal_circle_glyph, 炼狱粉笔
witchery:white_coffin, 白色棺材
witchery:orange_coffin, 橙色棺材
witchery:magenta_coffin, 品红棺材
witchery:light_blue_coffin, 淡蓝棺材
witchery:yellow_coffin, 黄色棺材
witchery:lime_coffin, 黄绿棺材
witchery:pink_coffin, 粉色棺材
witchery:gray_coffin, 灰色棺材
witchery:silver_coffin, 浅灰棺材
witchery:cyan_coffin, 青色棺材
witchery:purple_coffin, 紫色棺材
witchery:blue_coffin, 蓝色棺材
witchery:brown_coffin, 棕色棺材
witchery:green_coffin, 绿色棺材
witchery:red_coffin, 红色棺材
witchery:black_coffin, 黑色棺材
witchery:white_shaded_glass, 白色遮光玻璃
witchery:orange_shaded_glass, 橘色遮光玻璃
witchery:magenta_shaded_glass, 品红遮光玻璃
witchery:light_blue_shaded_glass, 淡蓝遮光玻璃
witchery:yellow_shaded_glass, 黄色遮光玻璃
witchery:lime_shaded_glass, 黄绿遮光玻璃
witchery:pink_shaded_glass, 粉色遮光玻璃
witchery:gray_shaded_glass, 灰色遮光玻璃
witchery:silver_shaded_glass, 浅灰遮光玻璃
witchery:cyan_shaded_glass, 青色遮光玻璃
witchery:purple_shaded_glass, 紫色遮光玻璃
witchery:blue_shaded_glass, 蓝色遮光玻璃
witchery:brown_shaded_glass, 棕色遮光玻璃
witchery:green_shaded_glass, 绿色遮光玻璃
witchery:red_shaded_glass, 红色遮光玻璃
witchery:black_shaded_glass, 黑色遮光玻璃
witchery:rose_web_plant_mine, 网玫瑰
witchery:rose_ink_plant_mine, 墨玫瑰
witchery:rose_thorn_plant_mine, 荆棘玫瑰
witchery:rose_sprouting_plant_mine, 发芽玫瑰
witchery:dandelion_web_plant_mine, 网蒲公英
witchery:dandelion_ink_plant_mine, 墨蒲公英
witchery:dandelion_thorn_plant_mine, 荆棘蒲公英
witchery:dandelion_sprouting_plant_mine, 发芽蒲公英
witchery:dead_bush_web_plant_mine, 网灌木
witchery:dead_bush_ink_plant_mine, 墨灌木
witchery:dead_bush_thorn_plant_mine, 荆棘灌木
witchery:dead_bush_sprouting_plant_mine, 发芽灌木
witchery:oak_stockade, 橡木围栏
witchery:spruce_stockade, 云杉木围栏
witchery:birch_stockade, 白桦木围栏
witchery:jungle_stockade, 丛林木围栏
witchery:acacia_stockade, 金合欢木围栏
witchery:dark_oak_stockade, 深色橡木围栏
witchery:rowan_stockade, 山梨木围栏
witchery:alder_stockade, 赤杨木围栏
witchery:hawthorn_stockade, 山楂木围栏
witchery:ice_stockade, 冰围栏
witchery:rowan_log, 山梨原木
witchery:rowan_planks, 山梨木板
witchery:rowan_slab, 山梨木台阶
witchery:rowan_stairs, 山梨木楼梯
witchery:rowan_fence, 山梨木栅栏
witchery:rowan_fence_gate, 山梨木栅栏门
witchery:rowan_sapling, 山梨木树苗
witchery:rowan_leaves, 山梨木树叶
witchery:alder_log, 赤杨原木
witchery:alder_planks, 赤杨木板
witchery:alder_slab, 赤杨木台阶
witchery:alder_stairs, 赤杨木楼梯
witchery:alder_fence, 赤杨木栅栏
witchery:alder_fence_gate, 赤杨木栅栏门
witchery:alder_sapling, 赤杨木树苗
witchery:alder_leaves, 赤杨木树叶
witchery:hawthorn_log, 山楂原木
witchery:hawthorn_planks, 山楂木板
witchery:hawthorn_slab, 山楂木台阶
witchery:hawthorn_stairs, 山楂木楼梯
witchery:hawthorn_fence, 山楂木栅栏
witchery:hawthorn_fence_gate, 山楂木栅栏门
witchery:hawthorn_sapling, 山楂木树苗
witchery:hawthorn_leaves, 山楂木树叶
witchery:soft_clay_jar, 软粘土罐
witchery:clay_jar, 粘土罐
witchery:foul_fume, 邪恶熏气
witchery:diamond_vapor, 钻石熏气
witchery:vitriol_oil, 浓硫酸
witchery:horned_one_exhale, 角魔之息
witchery:goddess_breath, 女神之息
witchery:goddess_tear, 女神之泪
witchery:rebirth_hint, 重生之息
witchery:magic_whiff, 魔力之息
witchery:misfortune_reek, 厄运之息
witchery:purity_odor, 纯净之息
witchery:luck_drop, 幸运液滴
witchery:ender_dew, 末影之露
witchery:demonic_blood, 恶魔之血
witchery:mellifluous_hunger, 甜蜜饥饿
witchery:purified_milk, 纯牛奶
witchery:focused_will, 汇聚之意志
witchery:condensed_fear, 凝集之恐惧
witchery:redstone_soup, 红石汤
witchery:flying_ointment, 飞天软膏
witchery:light_ghost, 光之幽灵
witchery:world_soul, 世界之魄
witchery:otherwhere_spirit, 他处之灵
witchery:infernal_animus, 炼狱敌意
witchery:mystic_unguent, 神秘药膏
witchery:infused_brew_base, 注魔基础之酿
witchery:vines_brew, 藤蔓之酿药水
witchery:webs_brew, 蛛网之酿药水
witchery:thorns_brew, 荆棘之酿药水
witchery:ink_brew, 墨囊之酿药水
witchery:sprouting_brew, 萌芽之酿药水
witchery:erosion_brew, 侵蚀之酿药水
witchery:raising_brew, 腾升之酿药水
witchery:love_brew, 爱之酿药水
witchery:ice_brew, 寒霜之酿药水
witchery:frogs_tongue_brew, 青蛙舌头之酿
witchery:cursed_leaping_brew, 诅咒跳跃之酿
witchery:hitchcock_brew, 鹰击之酿
witchery:infection_brew, 感染之酿
witchery:flowing_spirit_brew, 水心之酿
witchery:hollow_tears_brew, 虚伪泪水之酿
witchery:wasting_brew, 浪费之酿
witchery:bats_brew, 蝙蝠之酿
witchery:revealing_brew, 揭示之酿
witchery:substitution_brew, 置换之酿
witchery:grotesque_brew, 怪诞之酿药水
witchery:depths_brew, 深渊之酿药水
witchery:sleeping_brew, 沉睡之酿
witchery:congealed_spirit, 冻结之精神
witchery:infused_soaring_brew, 注魔翱翔之酿
witchery:infused_grave_brew, 注魔墓穴之酿
witchery:solidifying_stone_brew, 固化酿造(石头)
witchery:solidifying_dirt_brew, 固化酿造(泥土)
witchery:solidifying_sand_brew, 固化酿造(沙子)
witchery:solidifying_sandstone_brew, 固化酿造(沙石)
witchery:solidifying_erosion_brew, 固化酿造(侵蚀)
witchery:hunger_demon_soul, 饿鬼之魂
witchery:anguish_demon_soul, 凄鬼之魂
witchery:fear_demon_soul, 懦鬼之魂
witchery:torment_demon_soul, 苦鬼之魂
witchery:collecting_fumes_book, §o§l巫术§r§o：收集熏气
witchery:distilling_book, §o§l巫术§r§o：蒸馏
witchery:circle_magic_book, §o§l巫术§r§o：圆环法阵
witchery:brews_and_infusions_book, §o§l巫术§r§o：酿造&注魔
witchery:herbology_book, §o§l巫术§r§o：草药学
witchery:symbology_book, §o§l巫术§r§o：魔符学
witchery:conjuration_and_fetishes_book, §o§l巫术§r§o：祈祷与灵物
witchery:biomes_book, §o§l生态之书
witchery:extended_biomes_book, §o§l生态之书§r§o (扩展版)
witchery:witches_brews_book, 巫师酿造手册
witchery:immortals_observations_book, 观察日记：永生者
witchery:bone_needle, 骨针
witchery:broom, 扫帚
witchery:enchanted_broom, 魔法扫帚
witchery:attuned_stone, 调谐之石
witchery:charged_attuned_stone, 调谐之石(充能)
witchery:waystone, 寻路石
witchery:bound_waystone, 绑定的寻路石
witchery:blooded_waystone, 血腥路碑
witchery:mutandis, 转生粉
witchery:mutandis_extremis, 超级转生粉
witchery:quicklime, 生石灰
witchery:gypsum, 石膏
witchery:wood_ash, 木灰
witchery:belladonna_flower, 颠茄花
witchery:mandrake_root, 曼德拉草根
witchery:snowbell_flower, 雪铃花
witchery:bat_wool, 蝙蝠毛
witchery:concentrated_bat_ball, 浓缩蝙蝠球
witchery:dog_tongue, 狗之舌
witchery:refined_evil, 精炼邪恶
witchery:odd_porkchop, 生猪肉片?
witchery:cooked_odd_porkchop, 烤猪肉片?
witchery:rowan_door_key, 山梨木门钥匙
witchery:rowan_keyring, 山梨木钥匙环
witchery:rock, 岩石
witchery:dense_web, 密网
witchery:rowan_berries, 山梨树浆果
witchery:necromantic_stone, 死灵石
witchery:spectral_dust, 幽灵粉末
witchery:artichoke_globe, 水洋蓟球茎
witchery:treefyd_seeds, 行路花种子
witchery:impregnated_leather, 浸渍皮革
witchery:fume_filter, 熏气过滤器
witchery:creeper_heart, 爬行者之心
witchery:frozen_heart, 冷冻之心
witchery:icy_needle, 冰针
